City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jamestown,US,2021-11-06 11:30:19,42.097,-79.2353,36.72,96,1,1.99
1,Ushuaia,AR,2021-11-06 11:33:55,-54.8,-68.3,44.26,76,75,23.02
2,Iracoubo,GF,2021-11-06 11:33:55,5.4802,-53.2011,78.55,89,92,7.05
3,Mataura,NZ,2021-11-06 11:33:56,-46.1927,168.8643,53.47,94,100,1.74
4,Hamada,JP,2021-11-06 11:33:56,34.8833,132.0833,57.0,71,80,9.51
5,Cape Town,ZA,2021-11-06 11:24:00,-33.9258,18.4232,71.11,52,20,4.0
6,Butaritari,KI,2021-11-06 11:33:57,3.0707,172.7902,81.86,73,72,13.51
7,Bengkulu,ID,2021-11-06 11:33:58,-3.8004,102.2655,77.61,89,97,10.74
8,Busselton,AU,2021-11-06 11:33:58,-33.65,115.3333,55.04,67,4,15.82
9,Kargopol,RU,2021-11-06 11:33:59,61.5071,38.9456,39.42,96,99,8.28
10,Monrovia,LR,2021-11-06 11:33:59,6.3005,-10.7969,85.77,67,16,7.87
11,Gat,IL,2021-11-06 11:33:05,31.61,34.7642,86.68,26,30,10.49
12,Punta Arenas,CL,2021-11-06 11:32:16,-53.15,-70.9167,50.11,71,40,5.75
13,Hilo,US,2021-11-06 11:30:54,19.7297,-155.09,72.81,78,40,4.61
14,Tigil,RU,2021-11-06 11:34:00,57.8,158.6667,7.45,98,47,5.35
15,Vaini,TO,2021-11-06 11:34:00,-21.2,-175.2,75.36,94,75,6.91
16,Kamenka,RU,2021-11-06 11:34:01,51.3223,42.7678,51.58,61,97,16.58
17,Rikitea,PF,2021-11-06 11:32:07,-23.1203,-134.9692,74.35,82,53,14.43
18,Cabo San Lucas,MX,2021-11-06 11:21:07,22.8909,-109.9124,75.51,64,6,3.94
19,Barrow,US,2021-11-06 11:34:02,71.2906,-156.7887,26.62,86,90,11.5
20,Carnarvon,AU,2021-11-06 11:34:03,-24.8667,113.6333,68.07,73,0,24.16
21,Tasiilaq,GL,2021-11-06 11:34:03,65.6145,-37.6368,11.86,68,79,7.25
22,Los Llanos De Aridane,ES,2021-11-06 11:34:04,28.6585,-17.9182,66.13,69,75,15.99
23,Tomaszow Mazowiecki,PL,2021-11-06 11:34:04,51.5313,20.0086,51.57,10,44,16.26
24,Andujar,ES,2021-11-06 11:34:04,38.0392,-4.0508,59.0,39,0,10.49
25,Half Moon Bay,US,2021-11-06 11:34:05,37.4636,-122.4286,57.7,94,75,0.0
26,Saint George,US,2021-11-06 11:21:01,37.1041,-113.5841,64.54,61,1,5.75
27,Rumonge,BI,2021-11-06 11:34:05,-3.9736,29.4386,83.44,53,87,4.92
28,Qaanaaq,GL,2021-11-06 11:25:21,77.484,-69.3632,9.3,71,97,8.81
29,Hermanus,ZA,2021-11-06 11:34:06,-34.4187,19.2345,67.8,58,19,11.65
30,Agadez,NE,2021-11-06 11:34:07,19.75,10.25,91.94,8,3,4.09
31,Sainte-Suzanne,RE,2021-11-06 11:34:07,-20.9061,55.6089,82.62,72,90,19.57
32,Bredasdorp,ZA,2021-11-06 11:34:07,-34.5322,20.0403,67.32,37,22,11.5
33,Nsanje,MW,2021-11-06 11:34:08,-16.92,35.262,109.83,11,28,9.51
34,Manono,CD,2021-11-06 11:34:08,-7.3,27.4167,97.56,29,46,2.01
35,Mbandaka,CD,2021-11-06 11:34:09,0.0487,18.2603,83.37,63,70,3.83
36,Kodiak,US,2021-11-06 11:34:09,57.79,-152.4072,33.03,81,94,9.35
37,Narsaq,GL,2021-11-06 11:34:10,60.9167,-46.05,26.82,83,99,10.6
38,Sigli,ID,2021-11-06 11:34:10,5.3848,95.9609,79.41,86,98,6.31
39,Radford,US,2021-11-06 11:34:11,37.1318,-80.5764,34.95,92,1,0.0
40,Constitucion,CL,2021-11-06 11:34:11,-35.3333,-72.4167,54.55,72,89,3.98
41,Manali,IN,2021-11-06 11:34:11,13.1667,80.2667,78.89,84,88,14.29
42,Forbes,AU,2021-11-06 11:34:12,-33.3833,148.0167,64.78,73,89,6.91
